#	size	1                   	2                   	3                   	4                   	5                   	6                   	7                   	8                   	9                   	10                  	average             	average(s:ms)
183	923 	60002.000;2198766;0 	60002.000;2193752;0 	60002.000;2198447;0 	60002.000;2194838;0 	60002.000;2200164;0 	60002.000;2201615;0 	60002.000;2197437;0 	60002.000;2198175;0 	60002.000;2181995;0 	60002.000;2202117;0 	60002.0;2196730     	60:2;0.0  
184	928 	60002.000;2023044;0 	60002.000;2020425;0 	60002.000;2024669;0 	60001.000;2023296;0 	60002.000;2024923;0 	60002.000;2031933;0 	60002.000;2020452;0 	60002.000;2019051;0 	60002.000;2021434;0 	60002.000;2023787;0 	60001.9;2023301     	60:1;0.0  
185	933 	60002.000;1784114;0 	60001.000;1787701;0 	60002.000;1785190;0 	60002.000;1786611;0 	60001.000;1774245;0 	60001.000;1776839;0 	60002.000;1785115;0 	60002.000;1788239;0 	60002.000;1788956;0 	60002.000;1790747;0 	60001.7;1784775     	60:1;0.0  
186	938 	60002.000;2076986;0 	60002.000;2071298;0 	60002.000;2056367;0 	60002.000;2035288;0 	60002.000;2055656;0 	60002.000;2050871;0 	60002.000;2058917;0 	60001.000;2066344;0 	60002.000;2053896;0 	60001.000;2054914;0 	60001.8;2058053     	60:1;0.0  
187	943 	60002.000;2016113;0 	60001.000;2029147;0 	60002.000;1999367;0 	60001.000;1928438;0 	60001.000;1980927;0 	60002.000;1988206;0 	60002.000;1957131;0 	60002.000;2016685;0 	60002.000;2011864;0 	60002.000;2010850;0 	60001.7;1993872     	60:1;0.0  
188	948 	60002.000;1831943;0 	60002.000;1848165;0 	60002.000;1806313;0 	60001.000;1790169;0 	60002.000;1810723;0 	60001.000;1825343;0 	60001.000;1821558;0 	60002.000;1825992;0 	60001.000;1794140;0 	60002.000;1803782;0 	60001.6;1815812     	60:1;0.0  
189	953 	60002.000;1627674;0 	60002.000;1620202;0 	60002.000;1615895;0 	60002.000;1640760;0 	60002.000;1641030;0 	60001.000;1638991;0 	60002.000;1638385;0 	60001.000;1640617;0 	60002.000;1632107;0 	60002.000;1606862;0 	60001.8;1630252     	60:1;0.0  
190	958 	656.000;13299;1     	573.000;13299;1     	567.000;13299;1     	569.000;13299;1     	579.000;13299;1     	551.000;13299;1     	568.000;13299;1     	570.000;13299;1     	578.000;13299;1     	566.000;13299;1     	577.7;13299         	0:577;1.0 
191	963 	60002.000;1935280;0 	60002.000;1957787;0 	60002.000;1946573;0 	60002.000;1955534;0 	60001.000;1956259;0 	60002.000;1952507;0 	60002.000;1961310;0 	60001.000;1943168;0 	60001.000;1919341;0 	60001.000;1977384;0 	60001.6;1950514     	60:1;0.0  
192	968 	60001.000;2811085;0 	60002.000;2789629;0 	60002.000;2805342;0 	60001.000;2780946;0 	60002.000;2798433;0 	60002.000;2812471;0 	60001.000;2812757;0 	60002.000;2819940;0 	60001.000;2803100;0 	60001.000;2718362;0 	60001.5;2795206     	60:1;0.0  
193	973 	60001.000;1786843;0 	60001.000;1780814;0 	60001.000;1793093;0 	60001.000;1740776;0 	60002.000;1727165;0 	60002.000;1716287;0 	60002.000;1729824;0 	60001.000;1778533;0 	60002.000;1785395;0 	60002.000;1794763;0 	60001.5;1763349     	60:1;0.0  
194	978 	60002.000;2195226;0 	60001.000;2206774;0 	60001.000;2195818;0 	60002.000;2202014;0 	60001.000;2200075;0 	60001.000;2195901;0 	60002.000;2196472;0 	60001.000;2192703;0 	60002.000;2198268;0 	60002.000;2217333;0 	60001.5;2200058     	60:1;0.0  
195	983 	60002.000;1721778;0 	60001.000;1746509;0 	60001.000;1749260;0 	60002.000;1747103;0 	60002.000;1736493;0 	60002.000;1614605;0 	60001.000;1702392;0 	60002.000;1735704;0 	60002.000;1727088;0 	60001.000;1732565;0 	60001.6;1721349     	60:1;0.0  
196	988 	60002.000;1747748;0 	60002.000;1731543;0 	60002.000;1742697;0 	60002.000;1757287;0 	60001.000;1745883;0 	60001.000;1748161;0 	60002.000;1741849;0 	60001.000;1758227;0 	60002.000;1743928;0 	60002.000;1759618;0 	60001.7;1747694     	60:1;0.0  
197	993 	242.000;66;1        	249.000;66;1        	242.000;66;1        	239.000;66;1        	245.000;66;1        	242.000;66;1        	240.000;66;1        	241.000;66;1        	254.000;66;1        	240.000;66;1        	243.4;66            	0:243;1.0 
198	998 	249.000;38;1        	250.000;38;1        	248.000;38;1        	250.000;38;1        	257.000;38;1        	244.000;38;1        	247.000;38;1        	251.000;38;1        	248.000;38;1        	246.000;38;1        	249.0;38            	0:249;1.0 
199	1003	60002.000;1340050;0 	60002.000;1339186;0 	60001.000;1268314;0 	60002.000;1316110;0 	60002.000;1338935;0 	60002.000;1346558;0 	60002.000;1288601;0 	60002.000;1261584;0 	60001.000;1290272;0 	60001.000;1277689;0 	60001.7;1306729     	60:1;0.0  
